id,start,end,duration
1,2.08,2.79,0.58
2,3.74,4.82,0.95
3,5.5,6.88,1.25
4,7.68,8.47,0.66
5,9.09,10.26,1.04
6,10.89,12.29,1.26
7,12.95,13.57,0.49
8,14.22,15.24,0.89
9,15.89,17.65,1.63
10,18.6,19.29,0.56
11,19.94,21.04,0.97
12,21.78,23.35,1.44
13,24.15,25.17,0.89
14,25.82,26.91,0.96
15,27.43,29.02,1.45
16,30.01,30.54,0.4
17,31.43,32.32,0.77
18,32.93,34.46,1.4
19,35.33,36.05,0.6
20,36.7,37.75,0.92
21,38.35,40.0,1.53
22,40.84,41.48,0.51
23,42.18,43.22,0.91
24,43.7,45.24,1.41
25,45.7,47.01,1.18
26,47.22,48.31,0.95
27,48.71,50.28,1.45
28,51.0,51.78,0.66
29,52.32,53.35,0.9
30,53.78,55.26,1.35
31,55.78,56.78,0.87
32,57.2,58.35,1.02
33,58.87,60.5,1.5
34,61.1,62.07,0.84
35,62.56,63.83,1.15
36,64.25,65.65,1.27
37,66.44,67.0,0.43
38,67.67,68.66,0.86
39,69.13,70.74,1.48
40,71.4,72.08,0.55
41,72.75,73.75,0.87
42,74.21,75.92,1.58
43,76.64,77.5,0.72
44,78.12,79.26,1.01
45,79.65,81.23,1.45
46,82.0,82.66,0.53
47,83.28,84.22,0.81
48,84.66,86.2,1.41
49,87.15,87.89,0.61
50,88.43,89.56,1.0
51,89.98,91.64,1.53
52,92.44,93.12,0.55
53,93.58,94.78,1.07
54,95.09,96.68,1.46
55,97.63,98.38,0.62
56,98.93,100.03,0.97
57,100.44,102.43,1.85
58,103.1,103.89,0.65
59,104.27,105.41,1.01
60,105.86,107.63,1.64
